
Node ID,Coordinates,Initial Energy,Residual Energy
822,(468 76),8.43089,8.43089
823,(248 360),6.45543,6.45543
824,(315 276),8.31904,8.31904
825,(437 24),9.65651,9.65651
826,(445 203),9.71053,9.71053
827,(99 369),8.92788,8.92788
828,(469 125),6.80197,6.80197
829,(472 79),5.82858,5.82858
830,(421 267),9.36323,9.36323
831,(410 381),8.62972,8.62972
832,(351 185),9.69832,9.69832
833,(264 446),7.95709,7.95709
834,(224 183),7.73888,7.73888
835,(263 441),8.35902,8.35902
836,(181 104),8.51115,8.51115
837,(90 436),7.51549,7.51549
838,(205 241),6.85095,6.85095
839,(22 351),7.66961,7.66961
840,(119 308),6.9921,6.9921
841,(365 495),9.76653,9.76653
842,(296 400),5.12223,5.12223
843,(141 330),7.86782,7.86782
844,(425 169),6.84851,6.84851
845,(24 131),7.78649,7.78649
846,(377 115),9.32798,9.32798
847,(499 49),7.68303,7.68303
848,(1 356),5.25727,5.25727
849,(308 121),7.71264,7.71264
850,(426 6),8.57845,8.57845
851,(147 203),8.83129,8.83129
852,(384 215),5.27955,5.27955
853,(437 207),5.67736,5.67736
854,(234 280),7.68929,7.68929
855,(73 12),8.19025,8.19025
856,(464 451),7.76925,7.76925
857,(362 133),9.40245,9.40245
858,(85 269),9.77676,9.77676
859,(217 154),5.80325,5.80325
860,(144 436),5.86886,5.86886
861,(462 364),9.91943,9.91943
862,(387 229),5.42833,5.42833
863,(105 257),5.43367,5.43367
864,(93 276),5.68896,5.68896
865,(245 59),6.38585,6.38585
866,(408 148),8.28761,8.28761
867,(312 435),6.88559,6.88559
868,(240 255),9.26069,9.26069
869,(98 440),9.46654,9.46654
870,(251 220),9.39894,9.39894
871,(24 69),6.81143,6.81143
872,(365 427),8.3578,8.3578
873,(106 261),6.24653,6.24653
874,(90 272),5.15656,5.15656
875,(420 410),7.22449,7.22449
876,(322 28),5.28382,5.28382
877,(369 347),7.14805,7.14805
878,(282 298),6.20075,6.20075
879,(415 145),8.43516,8.43516
880,(330 177),9.21339,9.21339
881,(268 341),7.81625,7.81625
882,(160 401),7.10395,7.10395
883,(483 206),5.63051,5.63051
884,(0 284),9.18409,9.18409
885,(219 172),6.44566,6.44566
886,(31 79),9.19294,9.19294
887,(258 76),5.81423,5.81423
888,(283 223),7.33421,7.33421
889,(132 329),9.51476,9.51476
890,(242 237),6.34846,6.34846
891,(162 42),9.32676,9.32676
892,(329 92),8.47713,8.47713
893,(432 384),6.39592,6.39592
894,(233 192),6.12873,6.12873
895,(407 410),7.66442,7.66442
896,(472 50),9.60707,9.60707
897,(381 13),5.81423,5.81423
898,(388 442),6.0567,6.0567
899,(113 90),6.81707,6.81707
900,(75 364),5.43077,5.43077
901,(344 52),9.6173,9.6173
902,(288 94),7.41905,7.41905
903,(287 97),7.84066,7.84066
904,(116 226),8.51939,8.51939
905,(272 474),6.8302,6.8302
906,(21 367),6.41728,6.41728
907,(413 297),8.88531,8.88531
908,(232 78),5.16999,5.16999
909,(223 81),8.46278,8.46278
910,(343 175),5.0177,5.0177
911,(329 15),5.39705,5.39705
912,(120 426),5.57817,5.57817
913,(335 450),6.03549,6.03549
914,(36 439),6.34053,6.34053
915,(405 350),7.71355,7.71355
916,(180 271),9.40718,9.40718
917,(244 245),9.29762,9.29762
918,(162 494),6.93472,6.93472
919,(224 64),7.7691,7.7691
920,(13 324),5.35264,5.35264
921,(56 265),6.10034,6.10034
922,(98 376),5.78173,5.78173
923,(234 209),9.13068,9.13068
924,(351 255),5.79714,5.79714
925,(491 390),9.90081,9.90081
926,(436 268),7.37114,7.37114
927,(259 318),7.08289,7.08289
928,(279 171),5.14206,5.14206
929,(265 376),7.85714,7.85714
930,(268 96),8.69167,8.69167
931,(360 369),7.9812,7.9812
932,(157 163),7.9191,7.9191
933,(125 33),9.99283,9.99283
934,(272 339),7.48238,7.48238
935,(121 454),9.58922,9.58922
936,(98 379),5.26841,5.26841
937,(48 230),7.39021,7.39021
938,(195 92),6.58895,6.58895
939,(50 86),6.62328,6.62328
940,(276 37),5.88061,5.88061
941,(109 373),9.88861,9.88861
942,(270 198),6.76412,6.76412
943,(121 22),8.22062,8.22062
944,(298 161),9.99527,9.99527
945,(326 77),6.25111,6.25111
946,(361 107),7.76162,7.76162
947,(347 63),6.54851,6.54851
948,(266 184),7.54906,7.54906
949,(35 287),7.27348,7.27348
950,(201 493),5.06394,5.06394
951,(101 227),8.27692,8.27692
952,(325 170),9.06964,9.06964
953,(390 444),9.79827,9.79827
954,(339 393),7.0893,7.0893
955,(221 99),8.12891,8.12891
956,(390 195),5.4059,5.4059
957,(275 443),7.10715,7.10715
958,(168 250),5.21897,5.21897
959,(245 499),6.23234,6.23234
960,(42 291),9.8909,9.8909
961,(169 69),8.66085,8.66085
962,(159 11),6.49373,6.49373
963,(268 202),8.48704,8.48704
964,(6 97),9.0289,9.0289
965,(265 378),9.6498,9.6498
966,(319 185),6.31642,6.31642
967,(139 199),6.66967,6.66967
968,(234 152),5.3032,5.3032
969,(65 478),8.33064,8.33064
970,(454 383),6.01199,6.01199
971,(282 498),7.49306,7.49306
972,(157 492),8.1959,8.1959
973,(116 0),6.61443,6.61443
974,(197 265),7.58095,7.58095
975,(347 308),7.33924,7.33924
976,(296 468),7.01392,7.01392
977,(272 237),6.8749,6.8749
978,(90 219),5.49669,5.49669
979,(38 201),6.88543,6.88543
980,(28 332),6.61641,6.61641
981,(253 465),5.44572,5.44572
982,(74 491),7.88629,7.88629
983,(358 167),7.34138,7.34138
984,(431 5),9.63591,9.63591
985,(373 490),5.77746,5.77746
986,(271 257),6.9396,6.9396
987,(471 244),7.51671,7.51671
988,(211 86),6.28651,6.28651
989,(323 70),6.72033,6.72033
990,(28 414),5.89175,5.89175
991,(125 18),8.43638,8.43638
992,(329 391),5.35585,5.35585
993,(116 434),8.90286,8.90286
994,(255 186),7.42088,7.42088
995,(345 407),9.72518,9.72518
996,(31 480),7.46971,7.46971
997,(223 319),9.67559,9.67559
998,(472 1),5.80462,5.80462
999,(469 435),9.47691,9.47691
1000,(220 231),9.22788,9.22788

